temperature,rainfall,supply,demand,current_price,next_day_price
35.45,5.28,251.06,250.58,2479.79,2523.28
30.35,0.0,295.8,238.14,8974.45,8045.12
32.21,0.0,267.64,274.5,6721.38,6456.59
29.78,0.55,888.12,800.24,7225.17,6864.53
29.35,3.79,742.07,550.34,7385.03,7249.05
27.04,0.0,1706.65,1709.21,8498.87,8653.47
31.64,0.9,248.52,234.64,2456.87,2529.39
26.76,0.0,357.28,324.25,8749.48,8261.78
32.53,0.8,22298.54,20130.32,2791.64,2964.54
34.12,0.0,96.11,76.37,5958.49,3859.05
31.39,1.63,47.07,47.24,4900.82,5035.23
28.91,0.0,8905.24,8196.77,1903.59,1910.14
31.73,0.0,2323.81,2168.01,8180.93,8535.43
28.83,0.0,12906.75,12610.38,7736.86,7737.39
33.56,3.63,1334.36,1002.83,8151.22,7993.27
23.04,0.0,277.22,231.91,8484.26,8143.82
28.72,0.0,2.24,1.39,6508.85,4815.08
22.43,3.9,210.82,223.48,3966.16,3672.58
24.32,0.0,929.84,729.35,8249.52,8279.78
35.18,0.0,889.34,807.04,6907.46,6436.65
33.4,0.0,2.24,2.13,6808.85,4919.02
27.27,2.7,7.84,8.08,17355.07,17474.82
24.29,0.0,18459.9,14503.85,3043.7,3153.12
20.0,0.0,33572.96,32595.23,662.59,637.78
27.93,0.0,299.61,349.41,8731.58,8099.37
39.2,0.0,208.71,230.59,6615.64,6249.35
31.65,0.0,156.56,164.12,17979.33,21561.18
27.87,0.0,890.79,872.98,7726.45,7855.15
31.77,0.0,42.99,33.04,4820.42,5037.44
24.07,0.0,885.22,934.96,7188.49,7036.15
28.87,1.3,775.51,705.6,6992.43,6804.16
30.38,0.0,26630.66,26529.62,3059.28,2999.41
29.67,0.0,92.17,76.81,5983.15,4038.1
33.01,2.2,186.68,165.5,11761.92,12764.23
31.31,1.62,16065.46,15127.36,3541.46,3535.56
32.54,6.24,101.83,98.18,2584.26,2431.32
27.38,0.0,1803.87,1812.55,8258.84,8699.63
33.41,0.0,936.95,766.84,8221.45,8064.57
36.19,0.0,18597.71,12921.7,2549.82,2623.97
26.31,0.0,3339.71,3906.09,5706.78,5821.06
26.63,0.0,16194.3,20870.16,2114.98,2094.48
35.08,0.37,13243.77,12630.17,8120.54,7834.06
29.27,0.0,371.72,274.7,8384.4,7710.64
35.33,3.16,3221.22,2552.45,9265.55,8798.4
28.32,0.0,99.92,100.05,2581.9,2410.92
35.53,0.0,5872.96,6310.97,1904.39,1919.17
30.5,2.75,831.68,630.58,7005.83,6715.48
30.98,1.48,14949.08,13493.34,3502.93,3567.42
35.95,0.0,2448.58,2232.51,6133.25,5952.59
28.63,7.1,296.65,319.69,8586.14,7232.36
26.42,0.0,14611.38,13053.12,8279.2,8341.94
28.3,0.0,20505.72,14585.58,3075.83,3159.94
31.72,1.43,9.52,9.54,16575.39,16811.24
24.05,0.0,1190.09,1324.78,7388.84,7500.59
32.42,0.0,2431.11,2173.18,7473.53,7392.71
27.95,0.0,1964.09,1942.52,2272.54,2263.48
34.36,0.0,131.53,108.82,11432.42,12231.0
20.9,0.0,11409.15,9768.3,2050.92,2205.09
27.01,0.0,2801.17,3029.84,7968.04,8180.75
23.59,3.84,367.92,378.24,8066.81,7723.21
26.86,2.15,34180.62,34730.86,662.37,655.32
30.94,0.0,2671.85,3004.89,7903.59,8155.24
29.32,0.0,10.15,7.88,17242.56,16841.75
29.04,5.15,7603.52,6608.11,1843.71,1925.47
29.4,0.0,859.83,813.17,7150.73,7065.66
30.77,0.0,896.53,749.82,8944.0,9251.36
26.17,3.35,15926.7,16978.17,3560.97,3519.4
32.69,0.0,7.94,6.97,16789.18,16493.14
32.52,0.0,235.84,180.64,2436.28,2567.77
31.46,0.0,1172.88,1079.55,7546.07,7398.44
32.11,0.0,686.35,639.1,8133.97,7681.01
31.13,0.0,20391.6,21290.81,3023.85,3141.33
37.73,3.15,1072.6,1009.56,7701.42,7506.77
29.67,0.0,245.31,242.01,3928.63,3680.89
28.83,7.26,404.92,405.29,8368.88,7533.12
27.14,2.61,1066.72,982.73,7430.49,7456.28
