crop,day,temperature,rainfall,supply,demand,current_price,next_day_price
Tomato,1,30,2,800,900,25,27
Tomato,2,31,1,850,920,27,28
Tomato,3,32,0,900,950,28,29
Tomato,4,33,0,950,900,29,27
Tomato,5,34,0,1000,850,27,25
Tomato,6,30,5,700,1000,25,28
Tomato,7,29,8,650,1100,28,31
Tomato,8,28,10,600,1150,31,33
Tomato,9,27,7,620,1080,33,34
Tomato,10,30,3,750,1000,34,35
Tomato,11,31,2,820,950,35,33
Tomato,12,32,1,900,900,33,31
Tomato,13,33,0,980,850,31,29
Tomato,14,34,0,1050,800,29,26
Tomato,15,30,6,700,1050,26,29
Chilli,1,30,2,500,650,40,42
Chilli,2,31,1,520,680,42,44
Chilli,3,32,0,550,700,44,45
Chilli,4,33,0,600,650,45,43
Chilli,5,34,0,650,600,43,40
Chilli,6,30,5,450,750,40,44
Chilli,7,29,8,420,800,44,47
Chilli,8,28,10,400,850,47,49
Chilli,9,27,7,410,820,49,50
Chilli,10,30,3,480,760,50,48
Chilli,11,31,2,530,700,48,46
Chilli,12,32,1,580,650,46,43
Chilli,13,33,0,620,600,43,40
Chilli,14,34,0,680,550,40,37
Chilli,15,30,6,470,720,37,41
